"W","A","event","time"
1,1,2,2.64304305279
0,1,2,3.42254004494067
1,1,2,4.33046251939458
0,1,0,6
0,2,2,1.49706172799159
0,2,2,2.10179536680875
0,1,0,6
0,1,2,0.873331258228464
0,2,0,6
1,1,0,6
1,1,1,3.06139421424367
1,1,0,6
1,1,0,6
0,2,0,6
0,1,2,4.86366224768213
1,1,1,4.24714845731118
1,1,0,6
1,1,1,0.75560990930166
1,1,1,4.72211450059609
0,1,1,4.76567644158018
0,1,2,4.80659447982663
1,0,0,6
0,1,0,6
1,1,0,6
0,1,0,6
1,0,1,0.870797263682651
1,0,0,6
0,1,0,6
1,0,1,5.92817558678666
0,2,0,6
1,0,1,2.38070842108205
0,2,0,6
1,0,1,1.09647258235173
1,0,1,5.15405406178973
1,1,0,6
0,2,0,6
1,1,0,6
1,0,2,4.04702420806508
1,0,0,6
0,2,2,4.68554555226882
1,1,2,3.01250221213387
1,1,0,6
0,2,2,3.05964932720618
1,1,1,4.90880145847798
0,1,2,5.0606279675858
1,1,0,6
0,2,0,6
1,0,0,6
1,0,0,6
0,1,0,6
0,1,1,5.80040671938936
1,1,0,6
0,1,0,6
1,0,0,6
1,0,1,0.263370991783306
0,2,2,1.86875186738404
1,1,2,4.20679097115332
0,2,0,6
0,1,0,6
1,1,1,3.61800478412246
0,1,0,6
1,0,0,6
0,2,0,6
0,2,0,6
1,1,2,0.66506494972185
1,1,0,6
1,0,0,6
1,0,0,6
0,1,1,2.81378146095851
0,1,2,1.81746014637846
1,1,0,6
1,0,0,6
0,1,0,6
1,0,0,6
1,0,2,0.892374598174727
1,1,2,4.56312112215921
0,1,1,3.5894846446405
0,2,1,5.87378288107658
0,1,0,6
1,0,0,6
1,0,2,2.48167169915819
0,2,0,6
0,1,0,6
0,1,1,4.34178102599376
0,1,0,6
1,1,0,6
1,0,0,6
0,2,0,6
1,0,0,6
1,1,0,6
0,2,0,6
1,1,2,3.03545428454969
1,1,2,4.61140108095063
1,1,0,6
1,1,0,6
0,1,0,6
1,0,0,6
0,1,0,6
1,0,1,0.393933969746494
0,2,0,6
0,2,0,6
1,0,0,6
0,1,0,6
0,2,1,4.33218239431519
0,1,1,2.55598125945809
0,2,1,1.63833597287106
1,0,1,4.33118685901924
0,1,0,6
1,0,0,6
1,1,0,6
0,2,1,5.04800674548962
1,1,1,3.35166917328643
0,1,1,5.42956859355884
1,1,0,6
0,2,0,6
0,2,0,6
1,1,0,6
0,2,2,2.80271667332458
0,1,0,6
0,2,0,6
1,0,0,6
1,0,0,6
1,1,0,6
0,1,0,6
1,0,0,6
1,0,0,6
0,2,2,3.04230373563002
1,0,2,0.973875434412544
0,2,2,0.557483417335185
1,0,0,6
1,0,0,6
0,1,0,6
0,2,0,6
0,2,0,6
0,1,0,6
0,1,0,6
1,0,1,3.28029452256645
1,0,0,6
0,2,0,6
1,1,1,0.935013428274468
0,1,0,6
0,1,0,6
0,1,0,6
0,1,0,6
1,0,1,0.511675289963071
0,1,0,6
1,0,1,3.93287877156165
0,2,2,3.28495142919026
0,2,0,6
1,1,2,0.49056381540842
1,1,0,6
0,2,2,5.01687188841381
1,1,0,6
0,2,0,6
1,0,0,6
0,2,0,6
1,0,0,6
1,1,0,6
0,2,0,6
1,0,0,6
0,1,1,0.627105622993024
1,1,1,4.57820323303477
1,1,1,4.25423182038343
1,1,1,0.2302336884004
1,0,1,3.53622597323338
1,1,0,6
0,2,0,6
0,2,2,2.74777035973251
0,1,0,6
1,1,0,6
1,0,1,1.41685695749707
0,1,1,3.28463047137732
0,1,0,6
1,0,1,3.57365857852011
0,1,0,6
0,2,0,6
1,1,0,6
0,1,0,6
1,1,2,3.59798599612048
0,1,0,6
1,1,0,6
0,1,0,6
0,2,0,6
1,0,1,1.10138742826155
0,2,2,2.95505798806742
0,1,0,6
1,0,0,6
0,1,0,6
0,2,0,6
0,1,0,6
0,1,0,6
1,0,1,1.07578648454337
1,1,1,2.11878840921044
1,1,2,4.79129141946779
1,0,0,6
0,2,2,4.47216314844582
1,0,1,2.39162251575441
0,1,2,5.57835409387089
1,1,1,4.53119593580675
0,2,0,6
1,0,0,6
1,1,1,4.04052021737075
1,0,0,6
1,0,1,1.06234087364695
0,2,2,4.14847285906691
1,0,2,2.07633584642761
0,2,2,2.62603243539376
0,1,2,4.05078305554738
1,1,1,5.18410730973806
0,2,0,6
1,0,1,5.20844352359927
0,2,2,3.18530972353163
1,0,0,6
1,1,0,6
1,0,0,6
0,1,0,6
1,0,0,6
0,2,0,6
0,1,2,0.179310702933845
0,1,2,3.64646178616828
1,0,0,6
1,0,2,3.68683002507616
1,1,0,6
1,0,0,6
0,1,0,6
0,1,2,2.51875412481565
0,1,0,6
0,1,0,6
1,1,1,5.51355364512864
0,2,2,4.90813702316902
0,2,2,5.33879740502401
0,2,0,6
0,2,2,1.76724383716225
1,1,2,2.1726405610207
1,0,0,6
1,0,0,6
0,1,1,1.07317940655425
1,1,1,5.81281232214471
0,1,2,0.182075689292686
1,1,2,5.92440537698527
1,0,0,6
0,2,0,6
1,0,0,6
1,1,1,1.96237277653545
0,1,1,4.08819119333562
1,0,0,6
0,1,0,6
0,1,0,6
0,2,2,2.0506036996447
0,1,1,4.89095958730579
1,0,0,6
1,0,2,5.13955713347055
1,1,0,6
1,1,0,6
1,1,0,6
1,0,2,0.593565455601849
1,0,1,4.83589596761805
1,1,1,2.54921059275096
0,1,1,0.808715424539154
1,0,1,3.18047168884263
0,1,0,6
0,1,0,6
1,0,0,6
1,1,1,4.1816536296043
0,1,0,6
0,2,0,6
1,1,2,5.70918644366068
1,0,1,4.87068985251475
0,2,2,1.79273572236182
0,1,1,3.02240296150905
1,1,0,6
0,1,0,6
0,2,1,5.25899698878583
0,1,2,5.02587440238042
1,0,0,6
0,2,0,6
1,0,0,6
1,1,0,6
1,1,0,6
0,1,2,4.00833377417675
0,1,0,6
0,1,0,6
1,0,0,6
1,1,0,6
1,0,0,6
1,1,1,4.14503488164531
1,1,0,6
1,0,0,6
1,1,1,5.81546182890014
1,1,0,6
1,0,0,6
0,2,1,5.59675019392524
0,1,2,0.030703511428183
0,2,0,6
0,2,0,6
1,1,0,6
0,2,0,6
1,1,0,6
1,1,0,6
1,1,2,1.31287123599561
1,0,0,6
0,1,0,6
1,1,1,3.03746141168441
0,1,0,6
0,2,0,6
1,1,2,3.47526139022235
1,1,0,6
1,1,1,4.42781391294354
1,1,0,6
0,2,0,6
0,2,0,6
0,1,2,3.38117918330051
0,1,0,6
1,1,1,2.0287923092537
1,0,1,2.92816837219764
1,1,1,1.52150965250316
0,2,0,6
1,1,2,5.02193365877765
1,1,0,6
0,1,0,6
1,0,2,1.43367997621347
0,2,0,6
1,1,0,6
0,1,2,5.29056077595283
1,1,0,6
0,1,1,3.80944022084999
0,2,0,6
0,1,2,5.45388981805717
0,1,2,5.15115376767517
1,1,1,4.91108033983621
1,1,0,6
1,0,1,4.14817013138097
1,0,0,6
0,1,0,6
0,1,0,6
1,1,0,6
1,1,0,6
0,1,0,6
1,1,0,6
1,1,1,3.2354263816729
1,0,1,1.33094675972771
0,2,1,3.11635095744682
0,2,0,6
0,2,2,3.81787853621597
1,0,0,6
1,0,1,4.28278939226208
0,2,1,3.40164815205583
1,1,2,4.24692608208905
1,1,1,3.8363013321479
0,2,0,6
0,1,0,6
0,2,2,0.0366431141938099
0,1,1,3.60518228009007
1,0,0,6
1,1,1,4.5666872307294
0,2,1,3.36927282534599
1,1,0,6
0,1,0,6
0,2,0,6
0,2,0,6
1,0,0,6
0,1,0,6
1,0,1,1.90230667959617
1,1,0,6
1,0,1,3.17375740635281
0,1,0,6
0,1,2,5.8915286806733
1,1,2,0.474420285763569
1,0,0,6
1,1,1,2.27222307576787
0,1,0,6
0,2,2,0.797122387856049
0,1,2,0.464762491537338
1,1,2,2.38677412788486
1,1,1,4.98660869220033
0,1,0,6
0,2,0,6
0,2,0,6
0,1,0,6
1,0,1,2.46564672485851
1,0,0,6
0,2,2,2.98787564479318
0,1,0,6
1,1,0,6
1,1,2,0.874475381777857
0,2,0,6
0,1,2,5.54574779082381
0,2,0,6
0,2,2,2.29588547482183
0,1,0,6
1,1,2,1.19243881788354
1,1,1,1.57153707207155
0,1,0,6
0,2,2,1.74245868523214
1,1,0,6
0,2,2,0.0219561150773762
0,2,1,0.960769036983899
0,1,1,1.27245762310749
1,1,2,0.0584929454767836
0,2,2,5.89824456856971
1,0,0,6
1,1,0,6
0,1,0,6
0,1,2,2.33728308578324
0,2,0,6
0,2,1,3.26738118185492
0,1,1,3.38515964734224
1,0,2,3.21273942476614
0,1,0,6
1,0,1,4.45155390763976
0,1,0,6
1,1,0,6
1,0,0,6
1,0,2,5.08725949998609
1,0,0,6
0,2,0,6
1,1,2,0.915247535030264
0,2,0,6
0,2,0,6
1,0,0,6
1,0,0,6
0,1,1,5.26112350470253
1,0,1,0.270709458315329
1,1,0,6
1,0,0,6
0,1,0,6
1,1,0,6
0,1,1,3.15747597920531
0,1,0,6
0,2,1,2.6425534868933
0,2,0,6
1,1,1,0.838572487695648
1,0,0,6
0,1,1,1.11257868030982
0,1,2,0.301487412343167
0,2,0,6
1,0,0,6
0,2,0,6
0,2,0,6
1,0,0,6
0,1,0,6
1,0,1,5.44371207400457
0,1,2,5.06736163377688
0,1,0,6
0,1,0,6
0,2,0,6
0,1,0,6
1,0,0,6
1,0,0,6
0,2,0,6
0,1,1,2.819560720829
0,2,1,3.04049908734134
0,1,1,4.54885924137308
1,0,0,6
1,0,1,1.51553321087887
1,0,1,2.67839387825244
0,2,0,6
0,2,2,4.45690363284629
0,1,0,6
0,2,2,4.54222490548561
1,0,0,6
1,0,0,6
0,2,0,6
0,2,0,6
1,0,0,6
0,1,2,4.0323172831713
0,2,1,4.43663000127315
1,0,1,5.79435344219778
1,0,2,0.932131956534653
0,2,2,5.49991433137052
1,1,2,4.05544200692359
0,2,2,0.960504490471203
0,1,0,6
0,1,0,6
1,1,0,6
1,0,0,6
1,1,2,2.61666814799535
1,1,0,6
1,0,0,6
0,1,2,5.56551785265291
1,0,1,0.88712136214738
0,2,0,6
1,0,1,0.194611946636448
0,1,2,4.73408581206823
0,1,1,3.10531771386961
0,1,0,6
0,1,0,6
1,1,0,6
1,0,0,6
1,1,2,5.39624424178547
0,2,0,6
0,1,0,6
0,2,0,6
1,0,2,2.44330771080043
0,2,0,6
0,2,0,6
0,1,0,6
0,2,2,1.47606227399074
0,2,2,2.48544703471855
1,0,0,6
1,1,0,6
0,1,0,6
1,0,1,1.92755816997978
1,0,1,4.86599279210889
0,1,1,2.46304079473796
0,1,0,6
0,1,1,0.884110564199433
1,1,1,5.82431545040947
1,1,0,6
1,0,1,1.82983138956418
0,2,0,6
1,1,2,1.63256800741262
0,2,0,6
1,0,0,6
1,0,0,6
0,2,2,5.90304557805112
0,2,0,6
1,1,0,6
1,1,1,5.807592929702
0,2,0,6
0,1,0,6
1,0,0,6
1,1,2,5.861199263179
1,0,0,6
1,0,0,6
0,1,0,6
0,2,2,5.89926032395368
1,1,0,6
1,1,0,6
0,1,1,2.0030614567778
0,2,0,6
0,2,0,6
1,1,0,6
1,1,0,6
0,1,0,6
0,1,2,2.21072378492919
0,1,0,6
1,1,0,6
1,1,2,1.8197996062953
1,1,0,6
0,1,0,6
1,0,0,6
0,1,1,1.80540349572423
1,1,0,6
1,1,0,6
1,0,0,6
0,1,0,6
0,2,2,5.99519121725861
1,1,2,5.73763514829531
1,1,1,2.76216995765064
1,0,0,6
0,1,0,6
0,2,0,6
1,0,2,1.51598872822592
0,2,0,6
1,0,1,5.04533904919591
1,0,0,6
0,1,0,6
0,1,1,0.11118355469963
1,1,0,6
1,0,0,6
1,0,0,6
0,2,2,5.39878744599905
0,1,0,6
0,1,0,6
0,1,0,6
0,1,0,6
1,0,0,6
0,1,0,6
0,1,0,6
0,2,0,6
1,0,1,4.45751507284921
1,1,1,2.27355141613246
1,1,2,3.25298619426241
1,1,0,6
1,1,2,3.6340439095672
1,1,0,6
0,2,2,1.62240031441378
0,1,0,6
0,1,0,6
1,1,2,2.63639096890001
1,0,1,3.68942641907431
1,1,0,6
1,1,2,4.22382084722592
0,2,0,6
1,0,2,0.310729276278854
0,1,2,1.06127643033402
0,2,0,6
1,1,0,6
0,2,0,6
0,2,0,6
0,2,0,6
1,1,0,6
0,2,0,6
0,2,2,5.29081898695167
0,2,0,6
0,2,2,3.41372364581041
0,2,0,6
1,1,1,4.95778417128197
0,2,0,6
1,1,2,5.88690917051421
1,1,0,6
1,0,0,6
0,2,0,6
0,2,2,1.70250364779639
1,0,0,6
1,1,0,6
1,1,0,6
0,2,0,6
1,1,1,4.95207879791014
1,0,0,6
0,1,0,6
1,0,0,6
0,1,0,6
0,1,0,6
1,0,1,3.78377892631552
1,1,2,1.6211817731561
0,1,2,1.89191682678066
0,2,0,6
0,1,2,1.47862389950534
1,1,2,3.01009684306126
0,1,0,6
0,1,0,6
1,0,1,1.77535280332961
1,0,0,6
1,0,1,5.30891149062422
1,1,0,6
0,2,0,6
0,1,0,6
0,1,0,6
1,0,1,0.502881483184814
1,1,0,6
0,1,0,6
0,1,0,6
1,0,0,6
0,1,0,6
1,1,2,3.01890187658133
0,2,2,5.38705106844249
0,2,0,6
0,1,2,0.647899653148055
1,0,0,6
1,1,0,6
0,1,1,1.36382661643327
0,1,0,6
1,0,0,6
1,0,2,5.32141789235442
0,1,0,6
1,0,0,6
0,2,0,6
0,2,0,6
1,0,0,6
0,2,0,6
1,1,0,6
1,1,0,6
0,2,0,6
0,1,1,0.746500655679585
0,2,0,6
0,1,2,3.9578448993414
0,2,0,6
0,2,2,1.24272582348726
1,1,1,2.30651006768092
1,1,0,6
1,1,2,3.82418613262664
0,1,0,6
1,0,1,1.87497668361231
1,1,0,6
0,1,2,0.306895440398601
0,2,0,6
0,1,0,6
1,0,0,6
1,1,0,6
1,0,0,6
1,1,1,3.39218400756536
1,1,1,2.61253690394693
0,2,1,3.35561324830592
1,1,2,4.73976098626691
1,1,0,6
0,2,0,6
0,1,1,2.95147640479074
0,2,0,6
0,1,0,6
0,2,2,4.02311807192631
0,1,2,4.75504150859991
1,0,0,6
1,1,0,6
0,2,2,1.42247754946766
0,2,0,6
0,1,2,0.295920534464548
0,1,0,6
1,0,0,6
0,1,0,6
1,0,0,6
0,1,1,5.11948274422707
0,2,0,6
0,2,0,6
0,1,0,6
0,2,0,6
1,1,0,6
1,1,0,6
0,1,0,6
1,1,1,4.30840892707966
1,0,1,1.28903072054022
1,0,1,2.54078660070705
1,1,1,4.79430004420452
0,2,2,1.28660607285556
1,0,1,0.0800603482220287
1,1,0,6
0,2,0,6
0,1,0,6
1,1,0,6
1,0,0,6
1,1,0,6
0,2,0,6
0,1,2,4.4466753596241
1,0,2,2.02305580215578
1,0,2,0.271123382340215
0,2,2,0.117338353019555
1,0,0,6
0,1,1,4.0877544135627
0,2,2,5.29252711839757
1,1,0,6
0,1,0,6
1,0,0,6
1,0,0,6
0,2,0,6
0,2,0,6
1,1,0,6
1,0,0,6
0,2,0,6
1,0,1,0.387156223686652
0,2,0,6
1,1,0,6
0,2,2,4.00877456953587
1,0,1,3.5757691558068
1,0,1,1.15373897296294
0,2,0,6
1,1,2,3.08833851326546
1,1,0,6
1,1,0,6
1,0,1,5.99043265659184
1,1,2,1.25168137880866
1,1,1,1.77430190567492
1,0,1,0.16459887040403
1,0,0,6
0,1,1,2.03572908733608
1,0,0,6
1,1,2,5.67783065523149
0,2,0,6
1,0,0,6
1,1,2,1.78441527409127
0,1,0,6
1,1,2,4.14352332439857
0,2,0,6
1,0,0,6
1,0,0,6
0,2,0,6
0,1,2,3.07225045038667
0,1,0,6
0,1,0,6
0,2,0,6
1,0,0,6
1,1,0,6
0,1,1,0.316526669458992
0,2,0,6
1,1,0,6
0,1,0,6
0,1,2,0.721900724919452
0,1,1,3.69893770199984
0,2,2,1.97697205962734
1,0,2,3.74123941573806
0,1,0,6
0,2,0,6
0,1,2,4.52638828038689
1,0,1,2.76822299801494
1,1,2,1.18409845037171
1,0,0,6
0,1,2,1.67867433560536
0,1,2,5.71389552426966
0,1,2,3.21217231663956
1,0,0,6
0,2,2,5.95061251825048
1,1,1,4.13619809319214
1,0,2,4.04455258100842
0,1,0,6
0,2,2,0.11781920350699
1,1,0,6
1,0,0,6
0,1,0,6
1,1,1,2.17078967848714
0,1,1,3.22756774903756
0,2,0,6
0,2,0,6
0,1,0,6
1,0,2,2.51539905551188
1,1,0,6
0,2,2,2.917184583307
0,1,1,4.22787465328445
1,0,2,1.28548953379883
1,1,1,0.847628670442143
1,0,1,3.33581212933725
0,2,0,6
1,1,1,2.68921952300069
0,2,0,6
0,2,1,3.21887072913092
0,1,1,0.0771907501816426
0,1,1,5.42401532679925
0,2,0,6
1,1,2,2.38499954680549
0,1,0,6
1,0,1,0.155727778968643
1,1,0,6
1,1,1,2.70076266935798
1,1,1,4.23502480284725
1,0,0,6
1,0,0,6
0,1,2,5.70546147280743
0,1,0,6
1,1,2,1.41794466248214
1,1,0,6
0,1,2,0.964451115726526
1,1,0,6
0,2,1,1.43861866350581
1,0,0,6
0,1,2,5.15858039963963
0,1,0,6
1,0,1,2.45478579204863
0,1,0,6
1,0,0,6
1,0,1,1.01331236036295
1,1,0,6
1,0,0,6
0,1,0,6
1,0,1,5.93625281722912
1,0,0,6
0,2,2,0.394456361442493
1,1,0,6
1,0,1,5.48355116593978
0,1,2,3.50500493019948
1,1,0,6
0,2,0,6
0,2,0,6
1,0,2,2.58117916696288
0,1,0,6
0,2,0,6
0,1,0,6
0,1,0,6
0,1,0,6
1,1,1,4.89665543607629
0,2,2,3.87462869889329
1,0,2,5.0113280461111
1,1,0,6
1,0,1,5.70339948671626
0,2,0,6
1,0,0,6
0,1,2,0.290746986337297
0,2,0,6
1,0,0,6
0,1,0,6
1,1,0,6
0,2,2,1.42957845601927
1,1,0,6
1,0,1,0.850862236913767
0,2,0,6
0,2,0,6
0,2,2,0.0373473268196799
0,2,1,1.17589183962438
0,2,0,6
1,1,0,6
1,0,0,6
1,0,1,5.22110164400827
0,1,0,6
0,2,1,1.5196550770922
0,1,0,6
0,1,0,6
0,1,0,6
1,1,1,4.35170824704013
0,2,2,3.70174824351391
0,1,1,4.93966811479552
1,1,0,6
0,1,2,1.46320977132045
1,0,1,4.26590520947036
0,2,0,6
0,2,0,6
0,1,2,1.47259444528173
1,0,0,6
1,0,0,6
1,1,0,6
0,2,0,6
0,2,0,6
0,1,0,6
0,1,0,6
0,1,2,4.60895666425772
1,0,1,5.62764674699776
0,1,2,0.432018443462708
0,1,0,6
0,2,0,6
1,0,1,3.06941686254325
1,1,0,6
1,1,1,2.11930827026121
1,0,0,6
1,1,0,6
1,1,1,4.37304555450537
1,0,0,6
1,1,0,6
0,2,0,6
0,1,0,6
1,1,0,6
0,1,2,1.00124709443638
0,1,2,5.45235914193221
1,0,1,4.41497608508714
0,2,2,4.36398485614308
0,1,0,6
0,1,0,6
1,0,1,2.14824444779083
1,1,2,1.03080516831479
1,0,0,6
1,0,1,3.36919083758949
0,1,2,5.96862981046755
1,0,1,5.39229048609034
0,2,0,6
0,1,2,5.64336523361253
0,2,1,1.58169537635631
0,2,0,6
0,1,1,1.47971037357057
1,0,1,1.10975172116012
1,0,0,6
1,1,0,6
1,1,2,2.0161435545593
0,2,2,1.52048586043483
1,0,0,6
0,2,2,0.247262442550161
0,1,0,6
0,2,0,6
0,1,0,6
0,2,0,6
1,0,0,6
1,1,0,6
1,1,2,5.61560195268786
1,1,1,2.77776890981129
1,0,0,6
0,2,2,5.41534821021799
1,1,0,6
1,0,1,3.43498466149209
1,0,0,6
0,1,0,6
0,2,0,6
1,1,1,2.07475293936954
0,1,0,6
0,2,2,2.08909231197614
1,1,0,6
1,1,2,3.4572770604325
1,1,0,6
0,1,0,6
0,1,1,1.4096825755994
0,2,0,6
1,1,2,0.0281708522590032
0,2,1,5.31488773355813
1,0,0,6
1,1,1,3.01927001454636
0,1,0,6
1,1,0,6
1,1,1,4.6092860662388
0,2,1,1.91840322781985
1,0,0,6
0,2,0,6
0,2,2,0.72141708357381
1,0,1,5.68555423451442
1,0,0,6
1,1,0,6
1,1,0,6
1,1,2,2.23968440678112
0,1,2,2.16129861012678
0,1,0,6
0,2,1,4.44856017385715
1,1,0,6
1,1,0,6
1,0,1,2.46614405211063
1,1,2,2.26934569726485
1,1,0,6
0,1,0,6
1,0,1,0.697669604564152
1,0,0,6
1,1,2,2.93856074776726
1,1,2,1.74085648029652
1,0,0,6
1,1,1,1.67317727923308
0,1,0,6
1,1,0,6
1,1,0,6
0,1,0,6
0,1,2,5.46197797236432
1,1,0,6
0,1,1,1.11267569462009
0,2,0,6
0,2,0,6
1,0,1,3.93137988706633
0,2,2,0.308672237671526
1,1,2,2.64719879172188
1,0,0,6
0,1,0,6
1,1,2,5.12055782827372
0,2,0,6
0,1,0,6
1,1,0,6
0,2,2,3.39422040811338
0,2,2,1.12993356427742
0,1,0,6
1,1,0,6
1,0,0,6
1,1,2,2.62692488148676
0,1,0,6
1,1,0,6
1,0,1,0.818871706242479
0,1,2,2.04436137724265
1,1,0,6
1,0,0,6
1,1,0,6
1,1,0,6
0,1,1,3.32192834786038
1,0,1,0.254823017161137
1,1,0,6
0,2,2,3.15816342815057
1,0,0,6
0,1,0,6
0,1,0,6
1,0,0,6
1,0,1,3.03804016896443
1,0,0,6
1,1,0,6
0,1,0,6
1,1,1,3.67169725385275
1,1,0,6
0,2,0,6
0,2,1,0.994747278135156
1,0,1,4.02760722470247
0,1,0,6
1,0,0,6
0,1,2,3.23215538785151
0,1,1,0.264976559394112
0,2,0,6
0,1,1,1.98375020864534
1,0,2,5.88749522358727
1,0,1,5.25809477826
1,0,0,6
0,2,0,6
1,0,2,5.44531137576524
0,2,0,6
0,1,2,4.27714818092154
1,0,0,6
0,2,0,6
1,0,0,6
1,0,1,4.96791513072862
0,2,0,6
0,1,0,6
1,1,0,6
0,1,1,2.59660161207671
1,0,0,6
1,1,1,3.955862443983
0,1,0,6
1,0,1,2.53044529268765
0,1,2,2.49729803975397
1,1,2,0.99421468209426
0,1,0,6
1,0,0,6
0,1,2,1.00201657513615
0,2,2,1.51747920627503
1,1,0,6
0,1,2,2.58517676786551
1,0,0,6
1,1,2,2.82348009677357
0,2,0,6
1,1,1,4.83265332300071
0,2,1,4.4987009741484
0,1,1,5.69072743986107
0,2,0,6
0,1,0,6
1,1,0,6
1,1,1,0.146715860595131
0,2,0,6
0,1,0,6
1,1,0,6
0,2,0,6
1,0,0,6
1,1,0,6
1,1,0,6
1,1,0,6
0,2,0,6
0,1,0,6
0,1,0,6
1,0,1,3.74006099584211
0,2,0,6
1,1,0,6
1,0,0,6
1,0,1,2.99718390131532
1,1,0,6
1,1,1,3.53433217323429
0,2,0,6
0,1,1,4.75840268710344
1,1,2,5.16245794507269
1,0,1,4.89998318337102
0,2,0,6
1,0,0,6
0,1,0,6
1,0,0,6
0,2,2,2.67168808687272
1,1,0,6
0,1,1,3.93232436256189
0,1,0,6
0,2,0,6
1,1,0,6
0,2,0,6
0,2,0,6
1,1,0,6
1,1,0,6
1,1,0,6
1,1,1,1.09303069628005
0,1,0,6
0,2,0,6
1,0,1,0.88053819610102
0,2,0,6
0,1,0,6
0,1,2,2.19607516214973
0,1,0,6
0,1,2,1.98625762046992
0,1,0,6
0,2,0,6
1,0,0,6
1,0,1,3.40328819195886
1,1,0,6
0,2,0,6
1,0,0,6
1,0,2,5.34351580537374
0,2,0,6
